file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.8;0.5523696867294634;0.9717661655653981;0.38584573457882354;-1;-1;token based replay
sample 0.7;0.5523696867294634;0.9717661655653981;0.38584573457882354;-1;-1;token based replay
sample 0.6;0.5523696867294634;0.9717661655653981;0.38584573457882354;-1;-1;token based replay
sample 0.5;0.5523696867294634;0.9717661655653981;0.38584573457882354;-1;-1;token based replay
sample 0.4;0.5523696867294634;0.9717661655653981;0.38584573457882354;-1;-1;token based replay
sample 0.3;0.5523177494751551;0.9714447476917717;0.38584573457882354;-1;-1;token based replay
sample 0.2;0.5523177494751551;0.9714447476917717;0.38584573457882354;-1;-1;token based replay
sample 0.1;0.6404851265622451;0.9867187055948163;0.4741194882387657;-1;-1;token based replay
sample 0.05;0.6341757646670312;0.9854782242416291;0.46751603609127257;-1;-1;token based replay
sample 0.01;0.8415629822633977;0.9674859365707656;0.744643981653097;-1;-1;token based replay
sample 0.005;0.9796140988419001;0.9722323349329803;0.9871088137922419;-1;-1;token based replay
sample 0.001;0.9562424300979842;0.9438376394554839;0.9689776338906765;-1;-1;token based replay
