file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.8;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.7;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.6;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.5;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.4;0.9235153621721753;0.9251912994498018;0.9218454856671109;-1;-1;token based replay
sample 0.3;0.9228166151522429;0.9248847657002359;0.9207576932211821;-1;-1;token based replay
sample 0.2;0.9283175227225982;0.924469988927635;0.9321972163160124;-1;-1;token based replay
sample 0.1;0.9279054738056979;0.923653067698875;0.9321972163160124;-1;-1;token based replay
sample 0.05;0.9279054738056979;0.923653067698875;0.9321972163160124;-1;-1;token based replay
sample 0.01;0.9314730283933745;0.9311297772184226;0.9318165327335063;-1;-1;token based replay
sample 0.005;0.9076994088326371;0.9297448427901326;0.8866752106877938;-1;-1;token based replay
sample 0.001;0.9489470594429295;0.9163989782081035;0.9838923268902641;-1;-1;token based replay
