file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.8;0.39333299152062096;0.9673698139643496;0.24685144973815298;-1;-1;token based replay
sample 0.7;0.3936175959010221;0.9707677342652304;0.2468549969583801;-1;-1;token based replay
sample 0.6;0.42375358666674;0.9673695599716663;0.2712973166468966;-1;-1;token based replay
sample 0.5;0.42408262976514755;0.97075989681659;0.27130112515705174;-1;-1;token based replay
sample 0.4;0.45961581850692845;0.9711583515350735;0.3010450356425889;-1;-1;token based replay
sample 0.3;0.5017129859938694;0.9704456027761241;0.33830776098239845;-1;-1;token based replay
sample 0.2;0.5016984114955605;0.9711288927335641;0.3382115528488364;-1;-1;token based replay
sample 0.1;0.5542769114052856;0.9682560140713727;0.38827110267305553;-1;-1;token based replay
sample 0.05;0.5823436354590455;0.9882082560993938;0.41280251416511826;-1;-1;token based replay
sample 0.01;0.5429870332327315;0.9730679156908665;0.37655540265718423;-1;-1;token based replay
sample 0.005;0.5702675118458348;0.9555988942325898;0.40639473449024544;-1;-1;token based replay
sample 0.001;0.8806410965501584;0.9934447806095414;0.7908424995824486;-1;-1;token based replay
